Group,Block,Video,Duration,120:31:46
Basic Pharmacology,Basic Pharmacology,Enzymes,13:33,
Basic Pharmacology,Basic Pharmacology,Enzyme Inhibitors,07:41,
Basic Pharmacology,Basic Pharmacology,Dose-Response,20:49,
Basic Pharmacology,Basic Pharmacology,Drug Elimination,15:52,
Basic Pharmacology,Basic Pharmacology,Pharmacokinetics,26:32,
Behavioral Science,Behavioral Science,Ethical Principles,11:08,
Behavioral Science,Behavioral Science,Informed Consent,17:16,
Behavioral Science,Behavioral Science,Confidentiality,10:42,
Behavioral Science,Behavioral Science,Decision-Making Capacity,07:38,
Behavioral Science,Behavioral Science,Public Health,09:44,
Behavioral Science,Behavioral Science,Quality and Safety,29:28,
Biochemistry,Molecular Biochemistry,DNA Structure,12:51,
Biochemistry,Molecular Biochemistry,Purine Metabolism,18:39,
Biochemistry,Molecular Biochemistry,Pyrimidine Metabolism,22:23,
Biochemistry,Metabolism,Glucose,07:54,
Biochemistry,Metabolism,Glycolysis,31:17,
Biochemistry,Metabolism,Gluconeogenesis,17:17,
Biochemistry,Metabolism,Glycogen,20:41,
Biochemistry,Metabolism,HMP Shunt,14:06,
Biochemistry,Metabolism,Fructose and Galactose,12:58,
Biochemistry,Metabolism,Pyruvate Dehydrogenase,17:41,
Biochemistry,Metabolism,TCA Cycle,13:48,
Biochemistry,Metabolism,Electron Transport Chain,20:24,
Biochemistry,Metabolism,Fatty Acids,26:23,
Biochemistry,Metabolism,Ketone Bodies,08:23,
Biochemistry,Metabolism,Ethanol Metabolism,17:56,
Biochemistry,Metabolism,Exercise and Starvation,21:56,
Biochemistry,Metabolism,Inborn Errors of Metabolism,20:46,
Biochemistry,Amino Acids,Amino Acids,17:37,
Biochemistry,Amino Acids,Phenylalanine and Tyrosine,25:12,
Biochemistry,Amino Acids,Other Amino Acids,18:51,
Biochemistry,Amino Acids,Ammonia,17:53,
Biochemistry,Vitamins,B Vitamins,22:44,
Biochemistry,Vitamins,B12 and Folate,19:49,
Biochemistry,Vitamins,Other Vitamins,32:33,
Biochemistry,Lipids,Lipid Metabolism,20:04,
Biochemistry,Lipids,Hyperlipidemia,10:17,
Biochemistry,Lipids,Lipid Drugs,22:57,
Biochemistry,Other Topics,Lysosomal Storage Diseases,31:11,
