Subject,Chapter,Section,Video,Duration,9:17:01
Embryology,Reproduction,1,Early Fetal Development,0:10:39,
Embryology,Reproduction,2,Genes,0:06:59,
Embryology,Reproduction,3,Embryologic Derivatives,0:07:16,
Embryology,Reproduction,4,Errors in Morphogenesis,0:05:43,
Embryology,Reproduction,5,Teratogens,0:04:37,
Embryology,Reproduction,6,Twinning,0:07:47,
Embryology,Reproduction,7,Pharyngeal Clefts and Pouches,0:10:23,
Embryology,Reproduction,8,1st and 2nd Pharyngeal Arches,0:12:59,
Embryology,Reproduction,9,"3rd, 4th, and 6th Pharyngeal Arches",0:11:38,
Embryology,Reproduction,10,Cleft Lip and Palate,0:05:51,
Embryology,Reproduction,11,Normal Genital Development,0:10:25,
Embryology,Reproduction,12,Pathology of Genital Development,0:09:38,
Embryology,Cardiology,1,Normal Cardiac Development,0:10:45,
Embryology,Cardiology,2,Fetal and Neonatal Circulation,0:13:02,
Embryology,Cardiology,3,Right to Left Shunts,0:13:28,
Embryology,Cardiology,4,Left to Right Shunts,0:12:40,
Embryology,Pulmonology,1,Respiratory Embryology,0:12:15,
Embryology,Nephrology,1,Normal Renal Development,0:08:48,
Embryology,Nephrology,2,Renal Embryo Pathology,0:11:22,
Embryology,Gastroenterology,1,Normal Development,0:05:40,
Embryology,Gastroenterology,2,Foregut and Hindgut Pathology,0:09:52,
Embryology,Gastroenterology,3,Midgut Pathology,0:10:35,
Embryology,Gastroenterology,4,Intestinal Atresia,0:06:00,
Embryology,Endocrinology,1,Endocrine Embryology,0:08:29,
Embryology,Neurology,1,Neurological Development and Neural Tube Defects,0:13:03,
Embryology,Neurology,2,Posterior Fossa Malformations,0:10:40,
Anatomy,Cardiology,1,Arteries of the Upper Body,0:11:53,
Anatomy,Cardiology,2,Veins of the Upper Body,0:04:46,
Anatomy,Cardiology,3,Arteries of the Lower Body,0:05:35,
Anatomy,Cardiology,4,Veins of the Lower Body,0:11:21,
Anatomy,Cardiology,5,Gastrointestinal Arteries,0:11:56,
Anatomy,Cardiology,6,Gastrointestinal Veins and the Portal System,0:05:51,
Anatomy,Cardiology,7,Ovarian and Testicular Vasculature,0:04:21,
Anatomy,Cardiology,8,Cardiovascular Anatomy on Imaging,0:05:22,
Anatomy,Pulmonology,1,Overview of Respiratory Anatomy,0:17:35,
Anatomy,Nephrology,1,Overview of Renal Anatomy,0:04:23,
Anatomy,Gastroenterology,1,Mesentery and Peritoneum,0:14:33,
Anatomy,Gastroenterology,1.1,Retroperitoneal Organs,0:07:34,
Anatomy,Gastroenterology,2,Inguinal Canal,0:14:33,
Anatomy,Gastroenterology,3,Pectinate Line,0:06:15,
Anatomy,Gastroenterology,4,Layers of the Intestinal Wall,0:12:45,
Anatomy,Endocrinology,1,Endocrine Anatomy Overview,0:00:58,
Anatomy,Reproduction,1,Female Reproductive Organs,0:09:54,
Anatomy,Reproduction,2,Female Ligaments and Local Structures,0:13:19,
Anatomy,Reproduction,3,Pelvic Floor,0:07:20,
Anatomy,Reproduction,4,Male Reproductive Organs,0:12:17,
Anatomy,Neurology,1,Neuroanatomy Overview,0:00:44,
Anatomy,Musculoskeletal,1,"Upper Trunk, Axillary, Musculocutaneous, Suprascapular Nerves",0:15:57,
Anatomy,Musculoskeletal,2,Lower Trunk and the Median and Ulnar Nerves,0:17:48,
Anatomy,Musculoskeletal,3,Radial and Long Thoracic Nerves,0:06:26,
Anatomy,Musculoskeletal,4,Shoulder,0:15:53,
Anatomy,Musculoskeletal,5,Elbow and Wrist,0:10:09,
Anatomy,Musculoskeletal,6,Lumbosacral Plexus,0:15:46,
Anatomy,Musculoskeletal,7,Hips,0:10:54,
Anatomy,Musculoskeletal,8,Lumbar Radiculopathy,0:10:08,
Anatomy,Musculoskeletal,9,Knee Ligaments and Menisci,0:09:52,
Anatomy,Musculoskeletal,10,Other Knee and Leg Conditions,0:06:40,
Anatomy,Musculoskeletal,11,Ankle and Foot,0:03:39,
