Subject,Chapter,Section,Video,Duration,24:41:39
Pathology,General Pathology,1,Growth Adaptations,0:13:34,
Pathology,General Pathology,2,Cell Injury,0:11:54,
Pathology,General Pathology,3,Apoptosis,0:11:44,
Pathology,General Pathology,4,Necrosis,0:10:35,
Pathology,General Pathology,5,Free Radical Injury,0:10:27,
Pathology,General Pathology,6,Amyloidosis,0:14:42,
Pathology,General Pathology,7,Wound Healing,0:10:39,
Pathology,General Pathology,8,Neoplasia,0:08:25,
Pathology,General Pathology,9,Carcinogenesis,0:14:47,
Pathology,General Pathology,10,Tumor Progression,0:07:38,
Pathology,General Pathology,11,Clinical Features of Neoplasia,0:12:36,
Pathology,Cardiac Pathology,1,Hyperlipidemia Signs,0:03:15,
Pathology,Cardiac Pathology,2,Hypertension,0:05:46,
Pathology,Cardiac Pathology,3,Arteriosclerosis,0:08:17,
Pathology,Cardiac Pathology,4,Aortic Dissection and Aneurysm,0:09:35,
Pathology,Cardiac Pathology,5,Angina,0:09:35,
Pathology,Cardiac Pathology,6,Myocardial Infarction,0:12:06,
Pathology,Cardiac Pathology,7,Other Ischemic Heart Diseases,0:04:21,
Pathology,Cardiac Pathology,8,12-lead EKG Introduction,0:09:33,
Pathology,Cardiac Pathology,9,Basic EKG Interpretation,0:10:32,
Pathology,Cardiac Pathology,10,Ischemic EKG Changes,0:07:29,
Pathology,Cardiac Pathology,11,EKG Localization of Myocardial Infarctions,0:03:30,
Pathology,Cardiac Pathology,12,Cardiomyopathy,0:10:29,
Pathology,Cardiac Pathology,13,Heart Failure,0:16:42,
Pathology,Cardiac Pathology,14,Shock,0:18:15,
Pathology,Cardiac Pathology,15,Cardiac Tamponade,0:07:40,
Pathology,Cardiac Pathology,16,Endocarditis,0:13:26,
Pathology,Cardiac Pathology,17,Rheumatic Fever,0:07:59,
Pathology,Cardiac Pathology,18,Pericarditis,0:08:46,
Pathology,Cardiac Pathology,19,Myocarditis,0:08:17,
Pathology,Cardiac Pathology,20,Vasculitis,0:14:28,
Pathology,Cardiac Pathology,21,Cardiac Tumors,0:03:59,
Pathology,Pulmonary Pathology,1,Rhinosinusitis,0:06:58,
Pathology,Pulmonary Pathology,2,Epistaxis,0:05:11,
Pathology,Pulmonary Pathology,3,Head and Neck Cancer,0:07:58,
