Subject,Chapter,Section,Video,Duration,39:14:04
Pharmacology,Pharmacology Fundamentals,1,Enzyme Kinetics,0:16:04,
Pharmacology,Pharmacology Fundamentals,2,Pharmacokinetics and Dosage Calculations,0:12:44,
Pharmacology,Pharmacology Fundamentals,3,"Drug Metabolism, Elimination, and Urine pH",0:11:01,
Pharmacology,Pharmacology Fundamentals,4,"Efficacy, Potency, Activity at Cell Receptors, and Therapeutic Index",0:15:24,
Pharmacology,Pharmacology Fundamentals,5,Drug-Drug Interactions,0:07:45,
Pharmacology,Pharmacology Fundamentals,6,Cytochrome P-450,0:21:55,
Pharmacology,Pharmacology Fundamentals,7,Beers Criteria,0:11:35,
Pharmacology,Pharmacology Fundamentals,8,Seafood Toxins,0:17:22,
Pharmacology,Autonomic Pharmacology,1,Adrenergic Receptors,0:26:05,
Pharmacology,Autonomic Pharmacology,2,Epinephrine and Norepinephrine,0:25:19,
Pharmacology,Autonomic Pharmacology,3,Alpha Agonists,0:18:16,
Pharmacology,Autonomic Pharmacology,4,Beta Agonists,0:16:47,
Pharmacology,Autonomic Pharmacology,5,Alpha Blockers,0:20:21,
Pharmacology,Autonomic Pharmacology,6,Beta Blockers,0:19:03,
Pharmacology,Autonomic Pharmacology,7,Nicotinic Acetylcholine Receptors,0:07:35,
Pharmacology,Autonomic Pharmacology,8,Muscarinic Acetylcholine Receptors,0:15:28,
Pharmacology,Autonomic Pharmacology,9,Direct Cholinergic Agonists,0:19:59,
Pharmacology,Autonomic Pharmacology,10,Indirect Cholinergic Agonists,0:20:44,
Pharmacology,Autonomic Pharmacology,11,Anticholinesterase Poisoning,0:16:14,
Pharmacology,Autonomic Pharmacology,12,Muscarinic Antagonists,0:12:53,
Pharmacology,Autonomic Pharmacology,13,Atropine,0:14:02,
Pharmacology,Autonomic Pharmacology,14,"Dopamine, Histamine, and Vasopressin Receptors",0:19:32,
Pharmacology,Immunology Pharmacology,1,Cyclosporine,0:07:36,
Pharmacology,Immunology Pharmacology,2,Tacrolimus,0:04:57,
Pharmacology,Immunology Pharmacology,3,Sirolimus,0:07:47,
Pharmacology,Immunology Pharmacology,4,Basiliximab,0:04:03,
Pharmacology,Immunology Pharmacology,5,Azathioprine and 6MP,0:11:26,
Pharmacology,Immunology Pharmacology,6,Mycophenolate,0:05:27,
Pharmacology,Immunology Pharmacology,7,Glucocorticoids,0:14:56,
Pharmacology,Immunology Pharmacology,8,Bone Marrow Stimulation,0:06:38,
Pharmacology,Immunology Pharmacology,9,"Interferons Alpha, Beta, and Gamma",0:08:39,
Pharmacology,Antibiotics,1,"Penicillin G,V",0:09:43,
Pharmacology,Antibiotics,2,Amoxicillin and Ampicillin,0:11:17,
Pharmacology,Antibiotics,3,Antistaphylococcal Penicillins,0:05:19,
Pharmacology,Antibiotics,4,Antipseudomonal Penicillins,0:08:02,
Pharmacology,Antibiotics,5,Cephalosporins,0:18:18,
Pharmacology,Antibiotics,6,Carbapenems,0:06:42,
Pharmacology,Antibiotics,7,Monobactams,0:06:16,
Pharmacology,Antibiotics,8,Vancomycin,0:10:38,
Pharmacology,Antibiotics,9,Bacitracin,0:02:33,
Pharmacology,Antibiotics,10,Aminoglycosides,0:09:55,
Pharmacology,Antibiotics,11,Tetracyclines,0:09:41,
Pharmacology,Antibiotics,12,Glycylcyclines,0:05:37,
Pharmacology,Antibiotics,13,Chloramphenicol,0:09:08,
Pharmacology,Antibiotics,14,Clindamycin,0:07:37,
Pharmacology,Antibiotics,15,Linezolid,0:04:42,
Pharmacology,Antibiotics,16,Macrolides,0:11:44,
Pharmacology,Antibiotics,17,Polymyxins,0:04:57,
Pharmacology,Antibiotics,18,Trimethoprim and Sulfonamides,0:12:34,
Pharmacology,Antibiotics,19,Fluoroquinolones,0:08:14,
Pharmacology,Antibiotics,20,Daptomycin,0:05:46,
Pharmacology,Antibiotics,21,Metronidazole,0:05:59,
Pharmacology,Antibiotics,22,"Dapsone, Rifamycins, Clofazimine (Leprosy Drugs)",0:11:27,
Pharmacology,Antibiotics,23,Isoniazid (RIPE),0:09:18,
Pharmacology,Antibiotics,24,Ethambutol and Pyrazinamide,0:06:46,
Pharmacology,Antifungals,1,"Amphotericin B, Nystatin, and Flucytosine",0:13:09,
Pharmacology,Antifungals,2,Azoles,0:11:23,
Pharmacology,Antifungals,3,Terbinafine,0:03:47,
Pharmacology,Antifungals,4,Echinocandins,0:03:44,
Pharmacology,Antifungals,5,Griseofulvin,0:05:48,
Pharmacology,Antiparasitic Drugs,1,"Malathion, Permethrin, and Lindane",0:05:46,
Pharmacology,Antivirals,1,Oseltamivir and Zanamivir,0:02:31,
Pharmacology,Antivirals,2,"Acyclovir, Valacyclovir, and Famciclovir",0:07:53,
Pharmacology,Antivirals,3,Ganciclovir and Valganciclovir,0:06:08,
Pharmacology,Antivirals,4,Foscarnet and Cidofovir,0:07:18,
Pharmacology,Antivirals,5,NRTIs,0:09:22,
Pharmacology,Antivirals,6,NNRTIs,0:05:53,
Pharmacology,Antivirals,7,Protease Inhibitors,0:07:34,
Pharmacology,Antivirals,8,Integrase Inhibitors,0:04:43,
Pharmacology,Antivirals,9,Fusion Inhibitors,0:06:28,
