Subject,Group,Video,Duration,11:10:46
Neuroanatomy,Cranial Nerves,Olfactory Nerve (CN I),0:05:48,
Neuroanatomy,Cranial Nerves,Optic Nerve (CN II),0:07:04,
Neuroanatomy,Cranial Nerves,Oculomotor Nerve (CN III),0:12:00,
Neuroanatomy,Cranial Nerves,Trochlear Nerve (CN IV),0:07:00,
Neuroanatomy,Cranial Nerves,Trigeminal Nerve (CN V),0:17:48,
Neuroanatomy,Cranial Nerves,Abducens Nerve (CN VI),0:07:21,
Neuroanatomy,Cranial Nerves,Facial Nerve (CN VII),0:15:53,
Neuroanatomy,Cranial Nerves,Vestibulocochlear Nerve (CN VIII),0:10:09,
Neuroanatomy,Cranial Nerves,Glossopharyngeal Nerve (CN IX),0:11:46,
Neuroanatomy,Cranial Nerves,Vagus Nerve (CN X),0:12:20,
Neuroanatomy,Cranial Nerves,Accessory Nerve (CN XI),0:05:48,
Neuroanatomy,Cranial Nerves,Hypoglossal Nerve (CN XII),0:04:58,
Neuroanatomy,Spinal Tracts,Dorsal Column (Medial Lemniscus),0:16:18,
Neuroanatomy,Spinal Tracts,Spinothalamic Tract,0:15:21,
Neuroanatomy,Spinal Tracts,Corticospinal Tract,0:10:43,
Neuroanatomy,Spinal Tracts,Brachial Plexus,0:12:46,
Neuroanatomy,Thalamic Nuclei,Ventral Posterolateral (VPL) Nucleus,0:05:38,
Neuroanatomy,Thalamic Nuclei,Ventral Posteromedial (VPM) Nucleus,0:05:17,
Neuroanatomy,Thalamic Nuclei,Lateral Geniculate Nucleus (LGN),0:04:39,
Neuroanatomy,Thalamic Nuclei,Medial Geniculate Nucleus (MGN),0:05:17,
Neuroanatomy,Thalamic Nuclei,Ventral Lateral (VL) Nucleus,0:04:50,
Neuroanatomy,Hypothalamic Nuclei,Suprachiasmatic Nucleus,0:02:53,
Neuroanatomy,Hypothalamic Nuclei,Paraventricular and Supraoptic Nuclei,0:05:21,
Neuroanatomy,Hypothalamic Nuclei,Lateral Nucleus,0:03:57,
Neuroanatomy,Hypothalamic Nuclei,Ventromedial Nucleus,0:04:37,
Neuroanatomy,Hypothalamic Nuclei,Anterior Nucleus,0:03:13,
