Subject,Group,Video,Duration,31:21:49
Pharmacology,Diabetes Drugs (New),DPP-4 Inhibitors,0:14:13,
Pharmacology,Diabetes Drugs (New),GLP-1 Analogs,0:11:54,
Pharmacology,Diabetes Drugs (New),Insulin Overview,0:17:09,
Pharmacology,Diabetes Drugs (New),Insulin Preparations,0:21:56,
Pharmacology,Diabetes Drugs (New),Metformin (Biguanides),0:18:00,
Pharmacology,Diabetes Drugs (New),TZDs (Thiazolidinediones),0:16:48,
Pharmacology,Diabetes Drugs (New),Sulfonylureas,0:22:12,
Pharmacology,Diabetes Drugs (New),Meglitinides,0:14:59,
Pharmacology,Diabetes Drugs (New),SGLT2 Inhibitors,0:17:56,
Pharmacology,Diabetes Drugs (New),Alpha-Glucosidase Inhibitors,0:18:15,
Pharmacology,Diabetes Drugs (New),Pramlintide (Amylin Analogs),0:12:16,
Pharmacology,Cardiovascular Drugs (New),Nitroprusside,0:09:45,
Pharmacology,Cardiovascular Drugs (New),DHP Calcium Channel Blockers,0:17:18,
Pharmacology,Cardiovascular Drugs (New),Hydralazine,0:16:08,
Pharmacology,Cardiovascular Drugs (New),Ezetimibe,0:09:56,
Pharmacology,Cardiovascular Drugs (New),Fenoldopam,0:10:51,
Pharmacology,Cardiovascular Drugs (New),Fibrates,0:13:34,
Pharmacology,Cardiovascular Drugs (New),Sacubitril,0:15:54,
Pharmacology,General Pharm,Gs / Gi Pathway,0:07:59,
Pharmacology,General Pharm,Gq Signaling Pathway,0:07:50,
Pharmacology,General Pharm,Alpha-1 (Adrenergic) Receptors,0:06:30,
Pharmacology,General Pharm,Alpha-2 (Adrenergic) Receptors,0:07:41,
Pharmacology,General Pharm,Beta-1 (Adrenergic) Receptors,0:06:24,
Pharmacology,General Pharm,Beta-2 (Adrenergic) Receptors,0:08:39,
Pharmacology,General Pharm,Beta-3 (Adrenergic) Receptors,0:02:15,
Pharmacology,General Pharm,M1 (Muscarinic) Receptors,0:06:02,
Pharmacology,General Pharm,M2 (Muscarinic) Receptors,0:05:48,
Pharmacology,General Pharm,M3 (Muscarinic) Receptors,0:10:56,
Pharmacology,General Pharm,D1 (Dopamine) Receptors,0:06:00,
Pharmacology,General Pharm,D2 (Dopamine) Receptors,0:06:28,
Pharmacology,General Pharm,H1 (Histamine) Receptors,0:07:50,
Pharmacology,General Pharm,H2 (Histamine) Receptors,0:03:59,
Pharmacology,General Pharm,V1 (Vasopressin) Receptors,0:03:49,
Pharmacology,General Pharm,V2 (Vasopressin) Receptors,0:06:14,
Pharmacology,Cholinomimetics,Bethanechol,0:03:19,
Pharmacology,Cholinomimetics,Carbachol,0:04:05,
Pharmacology,Cholinomimetics,Methacholine,0:03:39,
Pharmacology,Cholinomimetics,Pilocarpine,0:04:21,
Pharmacology,Cholinomimetics,Donepezil Rivastigmine and Galantamine,0:05:06,
Pharmacology,Cholinomimetics,Edrophonium,0:09:05,
Pharmacology,Cholinomimetics,Neostigmine,0:08:37,
Pharmacology,Cholinomimetics,Physostigmine,0:06:20,
Pharmacology,Cholinomimetics,Pyridostigmine,0:05:47,
Pharmacology,Anticholinergics,Atropine (Homatropine and Tropicamide),0:06:03,
Pharmacology,Anticholinergics,Glycopyrrolate,0:03:53,
Pharmacology,Anticholinergics,Hyoscyamine & Dicyclomine,0:03:27,
Pharmacology,Anticholinergics,Oxybutynin Solifenacin Tolterodine,0:04:19,
Pharmacology,Anticholinergics,Scopolamine,0:03:39,
Pharmacology,Sympathomimetics and Sympatholytics,Dopamine,0:09:31,
Pharmacology,Sympathomimetics and Sympatholytics,Fenoldopam,0:05:23,
Pharmacology,Sympathomimetics and Sympatholytics,Dobutamine,0:04:19,
Pharmacology,Sympathomimetics and Sympatholytics,Epinephrine,0:09:15,
Pharmacology,Sympathomimetics and Sympatholytics,Norepinephrine,0:08:13,
Pharmacology,Sympathomimetics and Sympatholytics,Isoproterenol,0:04:26,
Pharmacology,Sympathomimetics and Sympatholytics,Midodrine,0:03:00,
Pharmacology,Sympathomimetics and Sympatholytics,Phenylephrine and Pseudoephedrine,0:07:15,
Pharmacology,Sympathomimetics and Sympatholytics,(Alpha) Methyldopa,0:04:48,
Pharmacology,Sympathomimetics and Sympatholytics,Clonidine (and Guanfacine),0:05:37,
Pharmacology,Sympathomimetics and Sympatholytics,Tizanidine,0:03:23,
Pharmacology,Alpha and Beta Blockers,Phenoxybenzamine,0:04:42,
Pharmacology,Alpha and Beta Blockers,Phentolamine,0:06:50,
