Group,Block,Index,Image Title,Video Content,Duration,13:39:45
Bacteria,Gram-Positive Cocci,1.1,The Golden Staff of Moses,Staphylococcus aureus,11:03,
Bacteria,Gram-Positive Cocci,1.2,Beauty and the Plumber,"Staphylococcus epidermidis, Staphylococcus saprophyticus",06:54,
Bacteria,Gram-Positive Cocci,1.3,The Pie Genies’ Bakery,Strep. pyogenes (Group A Strep),14:30,
Bacteria,Gram-Positive Cocci,1.4,Galactic Baby,Strep. agalactiae (Group B Strep),05:23,
Bacteria,Gram-Positive Cocci,1.5,The Alpha Knight Tournament,"Streptococcus pneumoniae, Streptococcus viridans",09:17,
Bacteria,Gram-Positive Cocci,1.6,Protest at the Caucus,Enterococcus,04:06,
Bacteria,Gram-Positive Bacilli,2.1,King Anthra’s Axe,"Bacillus anthracis, Bacillus cereus",09:50,
Bacteria,Gram-Positive Bacilli,2.2,Rhesus Research Revolution,Clostridium tetani,06:42,
Bacteria,Gram-Positive Bacilli,2.3,Robotulism,Clostridium botulinum,07:35,
Bacteria,Gram-Positive Bacilli,2.4,Field Trip to the Chocolate Factory,Clostridium difficile,08:17,
Bacteria,Gram-Positive Bacilli,2.5,Private Ringen’s Motorcycle Accident,Clostridium perfringens,05:31,
Bacteria,Gram-Positive Bacilli,2.6,Corazón de la Corrida,Corynebacterium diptheriae,06:49,
Bacteria,Gram-Positive Bacilli,2.7,Santa’s List,Listeria monocytogenes,04:04,
Bacteria,Gram-Positive Branching Filamentous Rods,3.1,Israeli Soldier,Actinomyces israelii,03:01,
Bacteria,Gram-Positive Branching Filamentous Rods,3.2,No Card Game for Old Men,Nocardia species,06:50,
Bacteria,Gram-Negative Cocci,4.1,Noir Series,Neisseria species,05:07,
Bacteria,Gram-Negative Cocci,4.2,A Shocking Death on Campus,Neisseria meningitidis,08:59,
Bacteria,Gram-Negative Cocci,4.3,The Violinist’s Last Clap,Neisseria gonorrhoeae,07:33,
Bacteria,Gram-Negative Bacilli: Enteric Tract,5.1,"Enterodactyl, Triserratiatops and the Kleb-Tailed Dinosaur","Enterobacter cloacae, Serratia marcescens, Klebsiella pneumoniae",07:49,
Bacteria,Gram-Negative Bacilli: Enteric Tract,5.2,The Salmon Dinner,"Salmonella typhi, Salmonella enteritidis",05:51,
Bacteria,Gram-Negative Bacilli: Enteric Tract,5.3,She-Gorilla’s Circus,"Shigella sonnei, Shingella dysenteriae",06:26,
Bacteria,Gram-Negative Bacilli: Enteric Tract,5.4,E. cola’s Soda Fountain,"Escherichia coli, Enterohemorrhagic E. coli (EHEC), Enterotoxigenic E. coli (ETEC)",08:51,
Bacteria,Gram-Negative Bacilli: Enteric Tract,5.5,Yersin’s Pets,"Yersinia enterocolitica, Yersinia pestis",07:54,
Bacteria,Gram-Negative Bacilli: Enteric Tract,5.6,Camping Guy and the Bears,Campylobacter jejuni,04:13,
Bacteria,Gram-Negative Bacilli: Enteric Tract,5.7,Colonel Cholera’s Base cAMP,"Vibrio cholerae, Vibrio parahaemolyticus, Vibrio vulnificus",05:45,
Bacteria,Gram-Negative Bacilli: Enteric Tract,5.8,The Helicopter Pilot,Helicobacter pylori,05:23,
Bacteria,Gram-Negative Bacilli: Enteric Tract,5.9,The Suitors of Pseudo Mona,Pseudomonas,09:59,
Bacteria,Gram-Negative Bacilli: Enteric Tract,5.1,The God of the Public Restroom,Proteus mirabilis,02:54,
Bacteria,Gram-Negative Bacilli: Respiratory Tract,6.1,Board and Care,Bordetella pertussis,07:39,
