Group,Block,Index,Image Title,Video Content,Duration,47:40:33
Blood and Coagulation,Microcytic and Macrocytic Anemia,1.1,The Adventures of Micro Polo,Microcytic Anemia: Overview & Thalassemias,23:37,
Blood and Coagulation,Microcytic and Macrocytic Anemia,1.2,So White and the Ferrous Stores,Microcytic Anemia: Iron Deficiency Anemia & Anemia of Chronic Disease,21:11,
Blood and Coagulation,Normocytic Anemia,2.1,In the Eye of the Spleen,Extravascular Hemolysis: Overview and RBC Membrane Defects,18:40,
Blood and Coagulation,Normocytic Anemia,2.2,Normo,Intravascular Hemolysis: Overview and Paroxysmal Nocturnal Hemoglobinuria (PNH),11:38,
Blood and Coagulation,Normocytic Anemia,2.3,Get Your Mix on Route 66,G6PD Deficiency & Autoimmune Hemolytic Anemia,17:24,
Blood and Coagulation,Normocytic Anemia,2.4,Crisis on the River Sickle,Sickle Cell Disease,23:41,
Blood and Coagulation,Normocytic Anemia,2.5,P.L.O.W. (Pale Ladies of Wrestling),Megaloblastic Anemia: Folate Deficiency & Vitamin B12 Deficiency,24:34,
Blood and Coagulation,Coagulopathies and Platelet Disorders,3.1,A Bleed of Their Own,Quantitave Platelet Disorders,23:27,
Blood and Coagulation,Coagulopathies and Platelet Disorders,3.2,The Great Bam-bleedo,Qualitative Platelet Disorders,14:30,
Blood and Coagulation,Coagulopathies and Platelet Disorders,3.3,"Backin', Breakin', Bleedin'",Inherited Coagulation Defects,18:42,
Blood and Coagulation,Coagulopathies and Platelet Disorders,3.4,Quick! Roll the DICe and fireball him!,Acquired Coagulation Defects,17:07,
Blood and Coagulation,Coagulopathies and Platelet Disorders,3.5,Coagulasive Maneuvers,Acquired & Inherited Thrombosis Syndromes,25:52,
Cardio,Ischemic Heart Disease,1.1,Ischaemic Forge,Myocardial Response to Ischemia,27:04,
Cardio,Ischemic Heart Disease,1.2,Rupture At The Stables,"Stable Angina; Vasospastic Angina; Acute Coronary Syndromes (VA, NSTEMI, STEMI)",26:17,
Cardio,Ischemic Heart Disease,1.3,Ischemia is Coming,Acute Myocardial Infarction; Post-MI Timeline,32:39,
Cardio,Heart Failure,2.1,Congestive Love Failure,Congestive Heart Failure Pathophysiology,26:04,
Cardio,Heart Failure,2.2,Under the CHF,Congestive Heart Failure Clinical Manifestations,24:33,
Cardio,Myocardial & Pericardial Disorders,3.1,Celtic Cardiomyopathy Games,Dilated and Restrictive Cardiomyopathy,22:56,
Cardio,Myocardial & Pericardial Disorders,3.2,Hypertrophic Highlands,Hypertrophic Cardiomyopathy (Pathophysiology and Treatment),19:07,
Cardio,Myocardial & Pericardial Disorders,3.3,Late night at the Flaming Heart,Myocarditis,14:02,
Cardio,Myocardial & Pericardial Disorders,3.4,Heart Shaped Box,Pericarditis; Constrictive Pericarditis,20:29,
Cardio,Valvular Disorders,4.1,Scrumptious Stenosis,Acute Rheumatic Fever; Mitral Stenosis (Rheumatic Heart Disease),26:31,
Cardio,Valvular Disorders,4.2,Bicuspid Base Jump,Mitral Valve Regurgitation; Mitral Valve Prolapse,19:50,
Cardio,Valvular Disorders,4.3,A murmur is a dream the heart makes,Aortic Stenosis; Aortic Regurgitation,22:05,
Cardio,Congenital Heart Disease,5.1,Congenital Cosplay,Congenital Heart Disease: L → R Shunts (Late Cyanosis),25:03,
Cardio,Congenital Heart Disease,5.2,Shojo Shunts,Congenital Heart Disease: R → L Shunts (Early Cyanosis),17:10,
Endocrine,Hypothalamic and Pituitary Disorders,1.1,Million Dollar Pituitary,Hypothalmic and Pituitary Dysfunction - Etiologies,12:30,
Endocrine,Hypothalamic and Pituitary Disorders,1.2,Rocky Pituitary,Hypothalmic and Pituitary Dysfunction - Clinical Manifestations,25:09,
Endocrine,Hypothalamic and Pituitary Disorders,1.3,Pitui-tell Me a Story,Hypertpituitarism,19:09,
Endocrine,Hypothalamic and Pituitary Disorders,1.4,Acqua Gialla Della Vita,Diabetes Insipidus & SIADH,27:55,
Endocrine,Adrenal Disorders,2.1,Hollywood Hypofunction,Adrenal Insufficiency,22:11,
Endocrine,Adrenal Disorders,2.2,Thank you Desmond! But our cortisol is in another adrenal!,Congenital Adrenal Hyperplasia,25:47,
Endocrine,Adrenal Disorders,2.3,Journey to the Center of the Cortex,Adrenocortical Hyperfunction: Hyperaldosteronism & Hypercortisolism,19:26,
Endocrine,Adrenal Disorders,2.4,Dark Side of the Cushion,Cushing's Syndrome,22:22,
Endocrine,Adrenal Disorders,2.5,Central Park Sensation,Pheochromocytoma & Neuroblastoma,11:21,
Endocrine,Diabetes,3.1,Candy Rush,Diabetes Mellitus: Pathogenesis and Acute Clinical Manifestations,29:31,
Endocrine,Diabetes,3.2,Sweet Smell of Victory,Diabetic Ketoacidosis (DKA) & Hyperosmolar Hyperglycemic State (HHS),17:02,
Endocrine,Diabetes,3.3,"Blood, Sweets, and Tears",Diabetes Mellitus: Chronic Complications,23:10,
Endocrine,Thyroid and Parathyroid,4.1,Dr. No Thyroid,Hypothyroidism: Overview & Hashimoto's Thyroiditis,21:24,
Endocrine,Thyroid and Parathyroid,4.2,Casino Reidel,Hypothyroidism: Other Causes,18:01,
Endocrine,Thyroid and Parathyroid,4.3,A View to a Grave,Hyperthyroidism: Overview & Graves' Disease,19:42,
Endocrine,Thyroid and Parathyroid,4.4,The Man With the Golden Nodule,Thyroid Nodules & Cancer,19:02,
Endocrine,Thyroid and Parathyroid,4.5,Calci-YUM Stone Creamery,Parathyroid Gland Disorders,29:14,
Endocrine,Thyroid and Parathyroid,4.6,Men in Slacks,Multiple Endocrine Neoplasia,12:41,
GI,Esophageal and Gastric Disorders,1.1,Zany Zenker's,Esophageal Disorders,19:21,
GI,Esophageal and Gastric Disorders,1.2,Dysphagia Ex Machina,Esophageal Obstruction & Tumors,20:48,
GI,Esophageal and Gastric Disorders,1.3,Fight Aliment Domain!,Acute and Chronic Gastritis & Peptic Ulcer Disease,33:49,
GI,Esophageal and Gastric Disorders,1.4,Gastric Udon-oma,Gastric Dysmotility & Cancer,16:41,
GI,Small Bowel Disorders,2.1,Ollie to Nolli to Ileus,"Small Bowel Obstruction, Ileus & Hernias",16:14,
GI,Small Bowel Disorders,2.2,Adolescent Modified Taekwondo Lizards,Carcinoid Tumor & Small Bowel Neoplasms,16:08,
GI,Small Bowel Disorders,2.3,Day of the Dead Gut,Intestinal Ischemia & Angiodysplasia,17:09,
GI,Small Bowel Disorders,2.4,"Baby, gI Was Born This Way",Congenital GI Disorders,23:59,
GI,Colorectal and Anal Disorders,3.1,The Grand Colon,Large Bowel & Appendiceal Disorders,16:40,
GI,Colorectal and Anal Disorders,3.2,The Battle of Bowel Run,Inflammatory Bowel Disease: Crohn's Disease & Ulcerative Colitis,16:19,
GI,Colorectal and Anal Disorders,3.3,Invasion of the Lillipolyps,Colorectal Polyps & Cancer,25:06,
